Subjects matched: 67

Metric                    Spearman r    p-value
--------------------------------------------------
Physical_Pain                  0.369     0.0021 **
Emotional_Pain                 0.343     0.0045 **
Depression                     0.396     0.0009 ***
poor_QoL                       0.309     0.0109 *
Anxiety                        0.302     0.0129 *
Catastrophizing                0.212     0.0847 
Rumination                     0.311     0.0103 *
Narrative_Fragmentation        0.340     0.0049 **
Agency_Deficit                 0.306     0.0119 *
